cbsa,city_name,date,venturedensity,highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10300,"Adrian, MI",2020q1,4.6982551,1.018432974815369,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2019q2,4.5476665,.924619197845459,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2020q2,4.7233982,1.073044896125794,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2019q3,4.6287737,.9392184615135193,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2020q3,4.7074471,1.070882081985474,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2018q4,4.2933545,.9588762897771281,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2019q4,4.712584,1.455464124679565,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10300,"Adrian, MI",2020q4,4.6925778,.9278634786605835,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10380,"Aguadilla-Isabela, PR",2019q1,.2841762,.0401737205684185,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2020q1,.29418439,.04743317887187,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2019q2,.30553171,.0414423644542694,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2020q2,.31575134,.043274849653244,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2019q3,.28259039,.0444025322794914,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2020q3,.39313862,.038270752876997,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2018q4,,,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2019q4,.27332225,.0685067623853683,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10380,"Aguadilla-Isabela, PR",2020q4,.42936546,.0336190611124039,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10420,"Akron, OH",2019q1,4.2017479,.9166631102561951,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
