cbsa,city_name,q418_venturedensity,q119_venturedensity,q219_venturedensity,q319_venturedensity,q419_venturedensity,q120_venturedensity,q220_venturedensity,q320_venturedensity,q420_venturedensity,q418_highlyactiveventuredensity,q119_highlyactiveventuredensity,q219_highlyactiveventuredensity,q319_highlyactiveventuredensity,q419_highlyactiveventuredensity,q120_highlyactiveventuredensity,q220_highlyactiveventuredensity,q320_highlyactiveventuredensity,q420_highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10660,"Albert Lea, MN",2.285838603973389,2.3729596,2.3853927,2.3853927,2.3587503,2.3078334,2.2782307,2.2391551,2.2202094,.5950160857711232,.61277771,.57725441,.62432283,.92982364,.64711696,.6453408,.5920558,.49199837,65.98829981486003,55.457047,-10.531253,48827,51174,52447,53631,4804,.99464923,9.7396841,.19367757,2.4685683,0,85.05072
10700,"Albertville, AL",1.810069799423218,1.9121853,1.9421645,1.9810565,1.9734941,1.9545883,1.9869982,1.9975314,1.9940203,.3872985498132379,.41079575,.44968766,.454144,.682634,.48047706,.46535245,.43888435,.38864896,23.01096468813279,32.060707,9.0497427,39831,41104,42490,45983,6152,2.6651192,13.965476,.36489862,.59910291,.053323295,80.754471
10740,"Albuquerque, NM",2.477689743041992,2.6575606,2.6954365,2.6929822,2.7035735,2.6861935,2.7366359,2.7705166,2.7449956,.5704774498038256,.56820744,.56137514,.57805789,.86657274,.59643656,.58125651,.5519979,.46908766,45.85766526084879,43.941307,-1.9163582,49711,50781,51998,54072,4361,2.2617936,49.02095,5.2625346,2.1008477,.067097314,39.196236
10760,"Alexander City, AL",2.327029705047607,2.3821058,2.354929,2.3312969,2.2863963,2.242677,2.2403138,2.2580378,2.2080169,.5051130418265066,.49981686,.45609766,.48977327,.71368647,.47854805,.45924857,.43207178,.35132912,24.13617359964471,35.390312,11.254139,39395,42181,43361,43941,4546,28.361729,2.1248391,.19104059,.28266209,0,68.01825
10780,"Alexandria, LA",.9653932452201843,1.0493104,1.0452526,1.0320644,1.007707,.98146755,1.0002376,1.1412375,1.1426972,.1916378048584424,.20560127,.20864472,.21506976,.31507561,.21547586,.21721181,.23148809,.20619293,31.42702950261257,32.999977,1.5729476,41836,42275,44182,46367,4531,29.153349,3.4231296,.63857543,1.1160394,.0065227319,63.448566
10820,"Alexandria, MN",4.479208469390869,4.7816157,4.8934245,4.8113518,4.8284011,4.8157134,4.8712215,4.9283152,4.912456,1.455894889787325,1.4677895,1.4939575,1.5486727,2.2195263,1.5462936,1.5304343,1.5217115,1.3084023,63.72807031519272,60.087921,-3.6401491,56347,58667,60676,63819,7472,.38120118,1.6527604,.26923999,.31455761,0,95.918747
10860,"Alice, TX",.9352496862411499,.90782988,.93711466,.91707766,.91142625,.92427045,.93403208,.96639949,.96499556,.1371763502142417,.15875463,.14796548,.16491985,.2288841,.15413071,.14642416,.1392314,.11154519,23.67011820186268,23.636379,-.03373896,43321,41103,42005,41461,-1860,.77143949,82.233917,.15696783,.4019908,.10336906,16.098774
10900,"Allentown-Bethlehem-Easton, PA-NJ",4.452877521514893,4.5782881,4.6433358,4.6045141,4.644814,4.5846019,4.6553702,4.6001344,4.5481291,1.082425981379503,1.113044,1.1176301,1.1231465,1.6743313,1.1466053,1.0858246,.96332628,.83152884,68.60939802178021,56.843716,-11.765682,60441,62479,64877,67652,7211,4.9507527,16.989649,.098375142,2.8173015,.02077339,73.106339
10940,"Alma, MI",2.12213397026062,1.8879048,1.7981322,1.9210131,1.9223546,1.950973,1.8897116,1.8704836,1.7806038,.4359965457356238,.43010464,.41268608,.45141125,.69220865,.5057416,.47131002,.45208201,.37740573,41.64704478870738,48.716324,7.0692792,42145,42256,44991,47848,5703,5.4697428,6.1051912,.25906736,.44725779,.073320948,86.027473
10980,"Alpena, MI",1.74944531917572,2.0977612,2.0708666,2.1095271,2.1179318,2.120173,2.1874089,2.22663,2.2355947,.5378874984670208,.595038,.5580582,.58495259,.89928055,.59615856,.61072636,.60288221,.49082232,29.09533762931824,42.491264,13.395926,39832,40954,41991,43363,3531,.57503504,1.3779804,.36115006,.61711079,.12973352,95.711784
